timestamp,signal,price,direction,system,log_time,bar_timestamp,symbol
2025-04-02 10:36:20.097693-04:00,-1,565.2799,SHORT,live,2025-04-02T10:36:20.196468,2025-04-02 10:36:20.097693,SPY
2025-04-02 10:36:20.894546-04:00,-1,565.2886,SHORT,live,2025-04-02T10:36:20.997961,2025-04-02 10:36:20.894546,SPY
2025-04-02 10:37:00.136575-04:00,-1,565.23,SHORT,live,2025-04-02T10:37:00.193299,2025-04-02 10:37:00.136575,SPY
2025-04-02 10:37:20.868288-04:00,-1,565.075,SHORT,live,2025-04-02T10:37:20.891822,2025-04-02 10:37:20.868288,SPY
2025-04-02 10:37:21.127585-04:00,-1,565.075,SHORT,live,2025-04-02T10:37:21.148000,2025-04-02 10:37:21.127585,SPY
2025-04-02 10:38:00.142600-04:00,-1,564.9,SHORT,live,2025-04-02T10:38:00.210710,2025-04-02 10:38:00.142600,SPY
2025-04-02 10:38:21.063790-04:00,-1,565.18,SHORT,live,2025-04-02T10:38:21.083996,2025-04-02 10:38:21.063790,SPY
2025-04-02 10:38:21.381065-04:00,-1,565.215,SHORT,live,2025-04-02T10:38:21.402790,2025-04-02 10:38:21.381065,SPY
2025-04-02 10:39:00.151043-04:00,-1,565.32,SHORT,live,2025-04-02T10:39:00.219448,2025-04-02 10:39:00.151043,SPY
2025-04-02 10:39:21.242442-04:00,-1,565.265,SHORT,live,2025-04-02T10:39:21.260561,2025-04-02 10:39:21.242442,SPY
2025-04-02 10:39:21.511174-04:00,-1,565.265,SHORT,live,2025-04-02T10:39:21.527013,2025-04-02 10:39:21.511174,SPY
2025-04-02 10:40:00.134873-04:00,-1,565.23,SHORT,live,2025-04-02T10:40:00.185271,2025-04-02 10:40:00.134873,SPY
2025-04-02 10:40:21.436619-04:00,-1,565.28,SHORT,live,2025-04-02T10:40:21.455064,2025-04-02 10:40:21.436619,SPY
2025-04-02 10:40:21.640000-04:00,-1,565.28,SHORT,live,2025-04-02T10:40:21.658956,2025-04-02 10:40:21.640000,SPY
2025-04-02 10:41:00.041214-04:00,-1,565.48,SHORT,live,2025-04-02T10:41:00.092385,2025-04-02 10:41:00.041214,SPY
2025-04-02 10:41:21.679693-04:00,-1,564.92,SHORT,live,2025-04-02T10:41:21.699331,2025-04-02 10:41:21.679693,SPY
2025-04-02 10:41:21.805940-04:00,-1,564.91,SHORT,live,2025-04-02T10:41:21.823873,2025-04-02 10:41:21.805940,SPY
2025-04-02 10:42:00.164616-04:00,-1,564.91,SHORT,live,2025-04-02T10:42:00.212338,2025-04-02 10:42:00.164616,SPY
2025-04-02 10:42:21.869678-04:00,-1,564.63,SHORT,live,2025-04-02T10:42:21.890241,2025-04-02 10:42:21.869678,SPY
2025-04-02 10:42:21.991192-04:00,-1,564.63,SHORT,live,2025-04-02T10:42:22.007002,2025-04-02 10:42:21.991192,SPY
2025-04-02 10:43:00.130112-04:00,-1,564.64,SHORT,live,2025-04-02T10:43:00.182384,2025-04-02 10:43:00.130112,SPY
2025-04-02 10:43:22.032081-04:00,-1,564.51,SHORT,live,2025-04-02T10:43:22.051407,2025-04-02 10:43:22.032081,SPY
2025-04-02 10:43:22.150688-04:00,-1,564.51,SHORT,live,2025-04-02T10:43:22.166419,2025-04-02 10:43:22.150688,SPY
2025-04-02 10:44:00.137074-04:00,-1,564.4,SHORT,live,2025-04-02T10:44:00.205234,2025-04-02 10:44:00.137074,SPY
2025-04-02 10:44:22.197318-04:00,-1,564.435,SHORT,live,2025-04-02T10:44:22.217050,2025-04-02 10:44:22.197318,SPY
2025-04-02 10:44:22.321931-04:00,-1,564.435,SHORT,live,2025-04-02T10:44:22.338477,2025-04-02 10:44:22.321931,SPY
2025-04-02 10:45:00.172367-04:00,-1,564.55,SHORT,live,2025-04-02T10:45:00.216687,2025-04-02 10:45:00.172367,SPY
